ФИО;Пол;Дата рождения;СНИЛС
Шерстнев;Артур;Антонович;792-977-392 03;04.11.2002
Кухарков;Герасим;Сергеевич;242-109-373 12;17.11.1992
Марин;Аркадий;Игоревич;451-574-335 22;01.12.1998
Инюшев;Аркадий;Вадимович;703-583-510 64;21.03.1983
Маршуков;Тарас;Вадимович;340-887-736 04;28.06.1968
Чупосов;Станислав;Яковлевич;914-667-869 66;17.12.1994
Свитинский;Артур;Кириллович;458-440-767 80;28.05.1999
Гудзин;Максим;Максимович;861-191-225 81;05.02.1951
Водопетов;Тарас;Романович;371-825-887 33;03.07.1987
Кунегин;Руслан;Денисович;755-319-349 80;23.06.1983
Шмелин;Никита;Максимович;871-585-317 45;04.12.2007
Пасичных;Вячеслав;Евгеньевич;284-291-130 39;22.06.1973
Патапов;Леонид;Андреевич;598-626-522 16;26.03.1946
Батанин;Валерий;Игоревич;446-481-154 06;13.12.2001
Узцев;Павел;Игоревич;731-920-854 37;02.02.1965
Цвиликов;Олег;Адамович;449-399-628 30;31.07.1967
Галих;Аркадий;Юриевич;424-326-827 56;25.06.1999
Никулочкин;Руслан;Борисович;027-711-110 92;28.08.1986
Засопин;Алексей;Михаилович;444-959-401 07;12.07.1990
Расказов;Борис;Фёдорович;888-911-257 49;22.07.1956
Цепляков;Степан;Аркадиевич;911-305-392 01;21.07.1969
Бублеев;Борис;Данилович;823-880-150 67;18.04.1972
Жеребинов;Дмитрий;Андреевич;467-083-333 95;24.06.1970
Пцин;Алексей;Алексеевич;594-540-852 26;27.10.1983
Везбин;Владислав;Виталиевич;425-075-717 48;01.09.1955
Колобухин;Степан;Борисович;915-930-743 23;03.09.1996
Суслопоров;Игорь;Виталиевич;276-225-479 94;12.04.1970
Емельнов;Эдуард;Кириллович;637-670-958 21;25.08.1960
Осипцев;Герасим;Денисович;425-096-209 34;31.10.1995
Черевастов;Валерий;Денисович;884-946-639 27;25.08.1995
Ивентьев;Федор;Юрьевич;334-006-170 41;28.11.1972
Лисяков;Герасим;Георгиевич;950-840-616 11;21.11.1975
Брынов;Максим;Аркадиевич;455-586-926 08;17.07.1943
Шильцын;Илья;Петрович;901-561-816 26;28.01.1968
Лепшаков;Максим;Петрович;768-468-553 81;15.07.1959
Мохряков;Вячеслав;Петрович;329-103-083 72;24.04.1996
Сумеров;Владимир;Борисович;729-757-831 63;08.11.1989
Рогозянов;Кирилл;Иванович;236-327-327 24;19.01.1988
Лесничков;Степан;Кириллович;442-061-190 59;25.01.1972
Клоков;Станислав;Иванович;724-083-496 82;20.04.1985
Алпаев;Степан;Денисович;512-285-975 09;25.08.1968
Фархиев;Вячеслав;Адамович;769-305-248 40;08.02.1970
Поршнев;Руслан;Павлович;476-796-727 24;14.09.1973
Магазенков;Александр;Василиевич;695-250-769 99;07.03.1974
Семыченков;Георгий;Денисович;140-771-383 31;20.06.1983
Хлынцев;Антон;Леонидович;632-337-593 66;03.02.1971
Яловнаров;Семён;Максимович;121-020-123 82;23.10.1984
Дикин;Федор;Михаилович;599-508-659 31;30.12.1991
Шельдов;Вадим;Василиевич;911-488-176 81;05.01.2004
Новацкий;Максим;Тимофеевич;532-651-627 33;28.01.1979
Прокуроров;Илья;Борисович;385-810-938 77;04.10.1966
Синтюрихин;Виталий;Сергеевич;021-223-709 10;18.12.1987
Битцов;Антон;Максимович;415-563-183 23;10.09.1959
Меркулев;Евгений;Денисович;322-843-267 51;24.10.1985
Веригин;Артём;Денисович;934-012-621 31;16.11.1961
Куцыгин;Георгий;Борисович;472-417-604 96;26.09.1991
Серманов;Юрий;Викторович;355-789-071 53;09.02.2003
Зязев;Владислав;Фёдорович;858-024-429 35;17.01.1950
Сиутин;Евгений;Вадимович;164-115-117 66;31.12.1974
Лобусов;Георгий;Адамович;699-723-357 71;03.10.1964
Саловаров;Степан;Михаилович;329-628-174 53;27.09.1960
Кардесов;Андрей;Юриевич;500-129-268 49;30.12.1981
Лясин;Павел;Евгеньевич;255-005-544 90;19.01.1961
Демехин;Анатолий;Леонидович;179-469-468 42;22.04.1971
Шишлов;Владислав;Игоревич;602-825-821 00;05.07.1971
Мещинский;Станислав;Сергеевич;299-652-591 65;07.10.1997
Жмельков;Валентин;Сергеевич;866-366-247 64;01.11.1948
Фицев;Станислав;Максимович;499-084-590 58;19.12.2008
Чугорин;Евгений;Кириллович;479-320-892 54;17.08.2001
Жиманов;Степан;Викторович;940-222-595 41;20.06.2000
Ельшаев;Артём;Алексиевич;870-630-601 34;12.02.1973
Пылюшев;Валерий;Георгиевич;934-404-314 55;14.06.1989
Якманов;Семён;Сергеевич;644-045-944 48;05.08.1989
Ульянчев;Алексей;Максимович;875-182-012 35;06.10.1987
Оленьев;Роман;Данилович;841-882-153 11;29.11.2005
Крамцов;Андрей;Вадимович;644-612-208 81;03.09.1964
Лавлинский;Анатолий;Фёдорович;675-819-123 04;19.03.1980
Настоящин;Станислав;Алексеевич;482-532-996 17;13.09.1977
Воходин;Пётр;Аркадиевич;471-423-869 02;17.07.1995
Баскалов;Альберт;Данилович;868-040-271 66;10.04.1999
Калитин;Пётр;Алексеевич;833-404-385 31;13.03.1965
Шатулин;Анатолий;Фёдорович;874-593-144 25;04.09.1991
Странский;Роман;Алексиевич;646-896-534 85;26.04.1994
Бабчин;Михаил;Юриевич;755-341-210 05;21.04.1989
Шарафеддин;Кирилл;Иванович;034-023-501 06;27.05.1973
Россовский;Герасим;Романович;418-838-735 90;29.06.1956
Ксенодохов;Дмитрий;Фёдорович;015-219-852 38;16.05.1977
Задворычев;Артур;Юриевич;927-227-150 63;05.04.1948
Солопаев;Николай;Николаевич;772-319-141 70;04.03.1970
Гурзов;Григорий;Яковлевич;437-318-714 23;20.06.2004
Гальцин;Артём;Сергеевич;307-824-732 17;04.07.1964
Масандилов;Никита;Олегович;740-693-423 07;03.05.1962
Скольдов;Евгений;Игоревич;289-674-088 10;06.04.1985
Мурдиков;Владислав;Василиевич;140-689-783 23;07.08.1996
Шаркунов;Игорь;Викторович;870-710-759 73;17.11.1993
Яншевский;Валерий;Тимофеевич;033-489-735 92;09.05.1997
Гужновский;Андрей;Петрович;813-471-148 23;20.03.2008
Дергабузов;Алексей;Алексиевич;908-123-858 79;30.03.1954
Раскушин;Пётр;Евгеньевич;317-667-727 99;30.08.1993
Лебедков;Константин;Денисович;672-886-629 26;12.12.1954
Бушмаринов;Руслан;Леонидович;397-434-666 86;14.02.1945
Щеманов;Юрий;Алексиевич;633-175-591 47;24.02.1975
Безруков;Константин;Адамович;127-812-152 66;31.07.1956
Сильченков;Яков;Антонович;026-442-934 33;24.12.1981
Асанкин;Руслан;Юрьевич;022-231-957 51;27.12.1984
Мозгов;Олег;Валериевич;533-306-954 50;18.11.1996
Абьянов;Валерий;Борисович;038-337-777 19;06.05.1979
Лопусов;Эдуард;Василиевич;146-706-979 51;14.11.1996
Юклаевских;Роман;Алексеевич;299-529-608 87;01.06.1986
Смуряков;Никита;Тимофеевич;260-121-638 08;06.07.1955
Бочалдин;Леонид;Кириллович;863-170-615 94;25.12.2007
Пескишев;Анатолий;Виталиевич;971-753-512 88;17.04.1948
Саушев;Вячеслав;Валериевич;488-067-491 64;27.04.1982
Толдин;Яков;Николаевич;985-167-989 87;21.06.2004
Кульбин;Леонид;Вадимович;761-501-312 12;25.11.1989
Сартаков;Константин;Михаилович;258-881-905 65;06.08.1952
Аскеров;Федор;Валериевич;947-332-396 66;29.06.2005
Кирешов;Денис;Аркадиевич;904-452-385 45;26.04.1990
Клюковский;Валерий;Георгиевич;181-139-920 05;24.09.2002
Невеляев;Валентин;Яковлевич;722-379-818 04;15.01.1993
Худошин;Илья;Петрович;322-870-496 85;05.10.1992
Вильямов;Дмитрий;Адамович;428-484-914 61;25.05.1970
Загадский;Павел;Юрьевич;000-640-147 79;04.04.1979
Кутылов;Владислав;Евгеньевич;658-087-299 41;29.11.1957
Тарзиманов;Иван;Юриевич;841-392-833 35;06.10.1948
Меденцев;Александр;Викторович;869-443-610 75;03.03.1950
Копкин;Герасим;Сергеевич;174-933-424 09;24.08.1989
Самосушев;Борис;Николаевич;395-791-719 01;24.07.1986
Сухарников;Антон;Николаевич;305-666-208 30;28.12.1972
Недоцуков;Павел;Адамович;834-966-449 21;03.03.2002
Макляков;Аркадий;Фёдорович;302-636-628 59;20.02.1964
Клипиков;Роман;Михаилович;288-249-513 25;22.01.1994
Знобищев;Никита;Евгеньевич;443-381-067 26;11.03.1955
Цыганенков;Павел;Андреевич;757-941-789 53;21.07.1964
Перякин;Юрий;Антонович;955-972-766 21;16.01.1997
Кадинский;Алексей;Сергеевич;790-599-099 53;08.02.1955
Чувакин;Евгений;Виталиевич;851-403-565 20;02.06.2006
Батунов;Вадим;Николаевич;190-905-664 55;28.11.1992
Клюшин;Вадим;Андреевич;237-133-452 80;22.08.1995
Шарифуллин;Иван;Адамович;232-937-049 63;12.03.1953
Свирцев;Герасим;Василиевич;497-700-633 94;20.12.1948
Чересов;Константин;Олегович;190-027-057 05;15.11.1978
Чугунов;Илья;Андреевич;058-629-246 61;24.10.1981
Циндрин;Владимир;Яковлевич;969-450-779 27;19.01.1973
Абломов;Виктор;Георгиевич;468-860-634 42;21.08.1970
Чепрыжов;Роман;Денисович;834-519-742 43;19.11.2008
Бережецкий;Иван;Вадимович;568-973-369 32;08.01.1993
Хаймов;Артур;Тимофеевич;799-834-514 35;14.11.1962
Никеев;Юрий;Юриевич;996-890-183 59;27.05.1997
Басанцев;Илья;Олегович;632-667-492 79;12.10.2005
Ряховских;Руслан;Олегович;912-384-491 43;10.04.1958
Триханов;Пётр;Евгеньевич;940-167-473 44;01.01.1952
Пирушов;Илья;Юрьевич;228-103-619 17;31.12.1948
Тилиев;Роман;Борисович;636-185-688 37;22.06.1956
Гадустов;Максим;Денисович;917-231-024 30;24.10.1969
Лузгин;Юрий;Андреевич;733-452-199 82;08.06.1999
Мажукин;Анатолий;Антонович;708-036-819 70;18.02.2001
Гросицкий;Павел;Петрович;561-756-647 96;23.07.1978
Яцышин;Андрей;Вадимович;007-889-071 51;23.10.1997
